Id Sensore,Data-Ora, Medio
6158,2023/06/01 00:00,77.8
6158,2023/06/01 01:00,86.6
6158,2023/06/01 02:00,90.8
6158,2023/06/01 03:00,92.0
6158,2023/06/01 04:00,94.1
6158,2023/06/01 05:00,94.6
6158,2023/06/01 06:00,94.6
6158,2023/06/01 07:00,87.5
6158,2023/06/01 08:00,71.3
6158,2023/06/01 09:00,60.1
6158,2023/06/01 10:00,57.3
6158,2023/06/01 11:00,56.5
6158,2023/06/01 12:00,56.3
6158,2023/06/01 13:00,53.9
6158,2023/06/01 14:00,50.6
6158,2023/06/01 15:00,50.2
6158,2023/06/01 16:00,50.3
6158,2023/06/01 17:00,48.6
6158,2023/06/01 18:00,57.8
6158,2023/06/01 19:00,60.0
6158,2023/06/01 20:00,62.6
6158,2023/06/01 21:00,65.0
6158,2023/06/01 22:00,70.2
6158,2023/06/01 23:00,69.6
6158,2023/06/02 00:00,73.7
6158,2023/06/02 01:00,70.9
6158,2023/06/02 02:00,78.8
6158,2023/06/02 03:00,81.2
6158,2023/06/02 04:00,84.2
6158,2023/06/02 05:00,85.2
6158,2023/06/02 06:00,83.4
6158,2023/06/02 07:00,76.0
6158,2023/06/02 08:00,66.4
6158,2023/06/02 09:00,59.7
6158,2023/06/02 10:00,57.5
6158,2023/06/02 11:00,57.4
6158,2023/06/02 12:00,55.8
6158,2023/06/02 13:00,52.5
6158,2023/06/02 14:00,50.0
6158,2023/06/02 15:00,46.8
6158,2023/06/02 16:00,46.7
6158,2023/06/02 17:00,54.9
6158,2023/06/02 18:00,64.0
6158,2023/06/02 19:00,67.9
6158,2023/06/02 20:00,69.5
6158,2023/06/02 21:00,68.5
6158,2023/06/02 22:00,70.9
6158,2023/06/02 23:00,75.6
6158,2023/06/03 00:00,86.7
6158,2023/06/03 01:00,80.7
6158,2023/06/03 02:00,78.5
6158,2023/06/03 03:00,86.7
6158,2023/06/03 04:00,92.2
6158,2023/06/03 05:00,99.6
6158,2023/06/03 06:00,95.5
6158,2023/06/03 07:00,90.3
6158,2023/06/03 08:00,90.2
6158,2023/06/03 09:00,87.8
6158,2023/06/03 10:00,77.3
6158,2023/06/03 11:00,71.7
6158,2023/06/03 12:00,72.4
6158,2023/06/03 13:00,70.0
6158,2023/06/03 14:00,63.0
6158,2023/06/03 15:00,58.0
6158,2023/06/03 16:00,55.8
6158,2023/06/03 17:00,58.6
6158,2023/06/03 18:00,61.3
6158,2023/06/03 19:00,62.2
6158,2023/06/03 20:00,67.2
6158,2023/06/03 21:00,76.0
6158,2023/06/03 22:00,80.3
6158,2023/06/03 23:00,76.0
6158,2023/06/04 00:00,78.9
6158,2023/06/04 01:00,83.3
6158,2023/06/04 02:00,89.6
6158,2023/06/04 03:00,90.0
6158,2023/06/04 04:00,89.5
6158,2023/06/04 05:00,93.6
6158,2023/06/04 06:00,96.1
6158,2023/06/04 07:00,98.8
6158,2023/06/04 08:00,99.9
6158,2023/06/04 09:00,99.9
6158,2023/06/04 10:00,99.9
6158,2023/06/04 11:00,90.3
6158,2023/06/04 12:00,75.5
6158,2023/06/04 13:00,70.2
6158,2023/06/04 14:00,64.9
6158,2023/06/04 15:00,59.3
6158,2023/06/04 16:00,59.1
6158,2023/06/04 17:00,62.9
6158,2023/06/04 18:00,73.9
6158,2023/06/04 19:00,80.8
6158,2023/06/04 20:00,90.0
6158,2023/06/04 21:00,91.5
6158,2023/06/04 22:00,98.1
6158,2023/06/04 23:00,99.9
6158,2023/06/05 00:00,99.9
6158,2023/06/05 01:00,98.4
6158,2023/06/05 02:00,91.6
6158,2023/06/05 03:00,89.6
6158,2023/06/05 04:00,96.5
6158,2023/06/05 05:00,94.2
6158,2023/06/05 06:00,91.0
6158,2023/06/05 07:00,89.7
6158,2023/06/05 08:00,91.3
6158,2023/06/05 09:00,83.3
6158,2023/06/05 10:00,82.1
6158,2023/06/05 11:00,82.1
6158,2023/06/05 12:00,81.8
6158,2023/06/05 13:00,86.5
6158,2023/06/05 14:00,92.3
6158,2023/06/05 15:00,91.2
6158,2023/06/05 16:00,84.3
6158,2023/06/05 17:00,86.3
6158,2023/06/05 18:00,93.6
6158,2023/06/05 19:00,89.8
6158,2023/06/05 20:00,91.4
6158,2023/06/05 21:00,96.4
6158,2023/06/05 22:00,99.1
6158,2023/06/05 23:00,99.9
6158,2023/06/06 00:00,99.9
6158,2023/06/06 01:00,99.9
6158,2023/06/06 02:00,99.9
6158,2023/06/06 03:00,99.9
6158,2023/06/06 04:00,98.5
6158,2023/06/06 05:00,99.4
6158,2023/06/06 06:00,99.9
6158,2023/06/06 07:00,99.8
6158,2023/06/06 08:00,94.5
6158,2023/06/06 09:00,81.5
6158,2023/06/06 10:00,73.4
6158,2023/06/06 11:00,70.0
6158,2023/06/06 12:00,67.7
6158,2023/06/06 13:00,62.1
6158,2023/06/06 14:00,59.1
6158,2023/06/06 15:00,57.5
6158,2023/06/06 16:00,55.8
6158,2023/06/06 17:00,56.7
6158,2023/06/06 18:00,56.2
6158,2023/06/06 19:00,61.9
6158,2023/06/06 20:00,65.7
6158,2023/06/06 21:00,77.9
6158,2023/06/06 22:00,80.9
6158,2023/06/06 23:00,76.8
6158,2023/06/07 00:00,77.2
6158,2023/06/07 01:00,80.9
6158,2023/06/07 02:00,81.4
6158,2023/06/07 03:00,83.4
6158,2023/06/07 04:00,89.2
6158,2023/06/07 05:00,97.4
6158,2023/06/07 06:00,99.9
6158,2023/06/07 07:00,99.9
6158,2023/06/07 08:00,98.7
6158,2023/06/07 09:00,89.5
6158,2023/06/07 10:00,78.0
6158,2023/06/07 11:00,72.1
6158,2023/06/07 12:00,71.1
6158,2023/06/07 13:00,65.2
6158,2023/06/07 14:00,61.0
6158,2023/06/07 15:00,54.1
6158,2023/06/07 16:00,49.3
6158,2023/06/07 17:00,51.3
6158,2023/06/07 18:00,54.9
6158,2023/06/07 19:00,58.2
6158,2023/06/07 20:00,62.6
6158,2023/06/07 21:00,75.1
6158,2023/06/07 22:00,79.6
6158,2023/06/07 23:00,83.9
6158,2023/06/08 00:00,83.2
6158,2023/06/08 01:00,79.4
6158,2023/06/08 02:00,92.2
6158,2023/06/08 03:00,95.7
6158,2023/06/08 04:00,96.7
6158,2023/06/08 05:00,94.5
6158,2023/06/08 06:00,94.1
6158,2023/06/08 07:00,86.2
6158,2023/06/08 08:00,77.3
6158,2023/06/08 09:00,67.4
6158,2023/06/08 10:00,61.7
6158,2023/06/08 11:00,60.4
6158,2023/06/08 12:00,57.8
6158,2023/06/08 13:00,56.2
6158,2023/06/08 14:00,52.5
6158,2023/06/08 15:00,49.2
6158,2023/06/08 16:00,49.2
6158,2023/06/08 17:00,48.9
6158,2023/06/08 18:00,49.5
6158,2023/06/08 19:00,54.3
6158,2023/06/08 20:00,62.1
6158,2023/06/08 21:00,72.5
6158,2023/06/08 22:00,70.1
6158,2023/06/08 23:00,70.4
6158,2023/06/09 00:00,72.2
6158,2023/06/09 01:00,75.1
6158,2023/06/09 02:00,78.3
6158,2023/06/09 03:00,76.2
6158,2023/06/09 04:00,83.4
6158,2023/06/09 05:00,84.5
6158,2023/06/09 06:00,84.2
6158,2023/06/09 07:00,83.6
6158,2023/06/09 08:00,79.8
6158,2023/06/09 09:00,70.8
6158,2023/06/09 10:00,65.4
6158,2023/06/09 11:00,62.7
6158,2023/06/09 12:00,61.9
6158,2023/06/09 13:00,62.6
6158,2023/06/09 14:00,62.6
6158,2023/06/09 15:00,64.6
6158,2023/06/09 16:00,65.0
6158,2023/06/09 17:00,62.1
6158,2023/06/09 18:00,60.9
6158,2023/06/09 19:00,66.0
6158,2023/06/09 20:00,72.4
6158,2023/06/09 21:00,72.3
6158,2023/06/09 22:00,72.1
6158,2023/06/09 23:00,79.2
6158,2023/06/10 00:00,85.1
6158,2023/06/10 01:00,87.8
6158,2023/06/10 02:00,89.6
6158,2023/06/10 03:00,91.6
6158,2023/06/10 04:00,87.7
6158,2023/06/10 05:00,92.3
6158,2023/06/10 06:00,93.0
6158,2023/06/10 07:00,89.8
6158,2023/06/10 08:00,82.6
6158,2023/06/10 09:00,71.3
6158,2023/06/10 10:00,69.3
6158,2023/06/10 11:00,64.0
6158,2023/06/10 12:00,63.6
6158,2023/06/10 13:00,66.2
6158,2023/06/10 14:00,67.1
6158,2023/06/10 15:00,69.1
6158,2023/06/10 16:00,63.1
6158,2023/06/10 17:00,60.1
6158,2023/06/10 18:00,66.1
6158,2023/06/10 19:00,73.9
6158,2023/06/10 20:00,79.7
6158,2023/06/10 21:00,82.8
6158,2023/06/10 22:00,78.2
6158,2023/06/10 23:00,85.3
6158,2023/06/11 00:00,92.1
6158,2023/06/11 01:00,98.5
6158,2023/06/11 02:00,99.9
6158,2023/06/11 03:00,99.9
6158,2023/06/11 04:00,99.9
6158,2023/06/11 05:00,99.9
6158,2023/06/11 06:00,99.9
6158,2023/06/11 07:00,99.8
6158,2023/06/11 08:00,89.6
6158,2023/06/11 09:00,78.4
6158,2023/06/11 10:00,72.6
6158,2023/06/11 11:00,67.0
6158,2023/06/11 12:00,62.6
6158,2023/06/11 13:00,60.2
6158,2023/06/11 14:00,57.9
6158,2023/06/11 15:00,54.5
6158,2023/06/11 16:00,52.6
6158,2023/06/11 17:00,54.3
6158,2023/06/11 18:00,58.7
6158,2023/06/11 19:00,69.0
6158,2023/06/11 20:00,73.8
6158,2023/06/11 21:00,82.9
6158,2023/06/11 22:00,92.9
6158,2023/06/11 23:00,91.0
6158,2023/06/12 00:00,94.6
6158,2023/06/12 01:00,98.2
6158,2023/06/12 02:00,99.6
6158,2023/06/12 03:00,99.9
6158,2023/06/12 04:00,99.9
6158,2023/06/12 05:00,99.9
6158,2023/06/12 06:00,99.9
6158,2023/06/12 07:00,96.9
6158,2023/06/12 08:00,82.8
6158,2023/06/12 09:00,68.0
6158,2023/06/12 10:00,61.5
6158,2023/06/12 11:00,60.4
6158,2023/06/12 12:00,60.2
6158,2023/06/12 13:00,58.6
6158,2023/06/12 14:00,56.3
6158,2023/06/12 15:00,55.3
6158,2023/06/12 16:00,55.9
6158,2023/06/12 17:00,55.6
6158,2023/06/12 18:00,56.7
6158,2023/06/12 19:00,60.3
6158,2023/06/12 20:00,71.1
6158,2023/06/12 21:00,78.9
6158,2023/06/12 22:00,81.4
6158,2023/06/12 23:00,81.0
6158,2023/06/13 00:00,81.3
6158,2023/06/13 01:00,83.3
6158,2023/06/13 02:00,86.2
6158,2023/06/13 03:00,85.5
6158,2023/06/13 04:00,96.5
6158,2023/06/13 05:00,99.9
6158,2023/06/13 06:00,99.9
6158,2023/06/13 07:00,99.9
6158,2023/06/13 08:00,99.9
6158,2023/06/13 09:00,98.6
6158,2023/06/13 10:00,94.0
6158,2023/06/13 11:00,90.9
6158,2023/06/13 12:00,79.3
6158,2023/06/13 13:00,71.4
6158,2023/06/13 14:00,66.8
6158,2023/06/13 15:00,69.3
6158,2023/06/13 16:00,70.1
6158,2023/06/13 17:00,67.3
6158,2023/06/13 18:00,70.6
6158,2023/06/13 19:00,70.0
6158,2023/06/13 20:00,75.1
6158,2023/06/13 21:00,86.7
6158,2023/06/13 22:00,90.7
6158,2023/06/13 23:00,92.0
6158,2023/06/14 00:00,95.7
6158,2023/06/14 01:00,99.9
6158,2023/06/14 02:00,99.9
6158,2023/06/14 03:00,99.9
6158,2023/06/14 04:00,99.9
6158,2023/06/14 05:00,99.9
6158,2023/06/14 06:00,99.9
6158,2023/06/14 07:00,99.9
6158,2023/06/14 08:00,99.9
6158,2023/06/14 09:00,97.1
6158,2023/06/14 10:00,77.3
6158,2023/06/14 11:00,68.8
6158,2023/06/14 12:00,65.1
6158,2023/06/14 13:00,62.5
6158,2023/06/14 14:00,62.0
6158,2023/06/14 15:00,62.7
6158,2023/06/14 16:00,65.7
6158,2023/06/14 17:00,64.5
6158,2023/06/14 18:00,64.4
6158,2023/06/14 19:00,63.2
6158,2023/06/14 20:00,65.0
6158,2023/06/14 21:00,80.5
6158,2023/06/14 22:00,90.9
6158,2023/06/14 23:00,89.5
6158,2023/06/15 00:00,89.0
6158,2023/06/15 01:00,85.6
6158,2023/06/15 02:00,87.0
6158,2023/06/15 03:00,87.6
6158,2023/06/15 04:00,87.5
6158,2023/06/15 05:00,91.4
6158,2023/06/15 06:00,96.3
6158,2023/06/15 07:00,95.1
6158,2023/06/15 08:00,81.6
6158,2023/06/15 09:00,65.4
6158,2023/06/15 10:00,65.0
6158,2023/06/15 11:00,63.9
6158,2023/06/15 12:00,64.0
6158,2023/06/15 13:00,62.8
6158,2023/06/15 14:00,61.5
6158,2023/06/15 15:00,59.9
6158,2023/06/15 16:00,65.1
6158,2023/06/15 17:00,69.1
6158,2023/06/15 18:00,59.4
6158,2023/06/15 19:00,68.1
6158,2023/06/15 20:00,76.1
6158,2023/06/15 21:00,77.3
6158,2023/06/15 22:00,80.2
6158,2023/06/15 23:00,84.7
6158,2023/06/16 00:00,83.7
6158,2023/06/16 01:00,86.4
6158,2023/06/16 02:00,90.7
6158,2023/06/16 03:00,95.2
6158,2023/06/16 04:00,97.9
6158,2023/06/16 05:00,98.3
6158,2023/06/16 06:00,97.0
6158,2023/06/16 07:00,92.7
6158,2023/06/16 08:00,81.1
6158,2023/06/16 09:00,74.5
6158,2023/06/16 10:00,60.5
6158,2023/06/16 11:00,55.9
6158,2023/06/16 12:00,55.7
6158,2023/06/16 13:00,53.6
6158,2023/06/16 14:00,51.5
6158,2023/06/16 15:00,50.0
6158,2023/06/16 16:00,45.9
6158,2023/06/16 17:00,37.9
6158,2023/06/16 18:00,45.6
6158,2023/06/16 19:00,56.7
6158,2023/06/16 20:00,60.3
6158,2023/06/16 21:00,63.9
6158,2023/06/16 22:00,64.7
6158,2023/06/16 23:00,70.1
6158,2023/06/17 00:00,80.3
6158,2023/06/17 01:00,76.2
6158,2023/06/17 02:00,72.3
6158,2023/06/17 03:00,74.7
6158,2023/06/17 04:00,86.2
6158,2023/06/17 05:00,90.1
6158,2023/06/17 06:00,90.8
6158,2023/06/17 07:00,77.9
6158,2023/06/17 08:00,65.1
6158,2023/06/17 09:00,55.5
6158,2023/06/17 10:00,48.1
6158,2023/06/17 11:00,45.7
6158,2023/06/17 12:00,45.5
6158,2023/06/17 13:00,43.4
6158,2023/06/17 14:00,43.8
6158,2023/06/17 15:00,41.7
6158,2023/06/17 16:00,37.8
6158,2023/06/17 17:00,37.6
6158,2023/06/17 18:00,40.3
6158,2023/06/17 19:00,45.3
6158,2023/06/17 20:00,54.7
6158,2023/06/17 21:00,62.8
6158,2023/06/17 22:00,62.3
6158,2023/06/17 23:00,71.8
6158,2023/06/18 00:00,67.5
6158,2023/06/18 01:00,74.7
6158,2023/06/18 02:00,78.4
6158,2023/06/18 03:00,81.7
6158,2023/06/18 04:00,85.2
6158,2023/06/18 05:00,87.2
6158,2023/06/18 06:00,81.5
6158,2023/06/18 07:00,74.1
6158,2023/06/18 08:00,63.5
6158,2023/06/18 09:00,55.5
6158,2023/06/18 10:00,51.7
6158,2023/06/18 11:00,50.2
6158,2023/06/18 12:00,50.3
6158,2023/06/18 13:00,47.6
6158,2023/06/18 14:00,46.2
6158,2023/06/18 15:00,45.4
6158,2023/06/18 16:00,45.9
6158,2023/06/18 17:00,44.5
6158,2023/06/18 18:00,44.7
6158,2023/06/18 19:00,51.1
6158,2023/06/18 20:00,57.0
6158,2023/06/18 21:00,62.1
6158,2023/06/18 22:00,73.2
6158,2023/06/18 23:00,77.4
6158,2023/06/19 00:00,83.0
6158,2023/06/19 01:00,86.9
6158,2023/06/19 02:00,88.2
6158,2023/06/19 03:00,90.9
6158,2023/06/19 04:00,92.5
6158,2023/06/19 05:00,93.1
6158,2023/06/19 06:00,92.6
6158,2023/06/19 07:00,85.2
6158,2023/06/19 08:00,67.7
6158,2023/06/19 09:00,56.9
6158,2023/06/19 10:00,57.9
6158,2023/06/19 11:00,57.3
6158,2023/06/19 12:00,61.0
6158,2023/06/19 13:00,61.7
6158,2023/06/19 14:00,56.5
6158,2023/06/19 15:00,55.1
6158,2023/06/19 16:00,53.9
6158,2023/06/19 17:00,54.7
6158,2023/06/19 18:00,62.1
6158,2023/06/19 19:00,59.3
6158,2023/06/19 20:00,67.2
6158,2023/06/19 21:00,72.2
6158,2023/06/19 22:00,76.9
6158,2023/06/19 23:00,82.0
6158,2023/06/20 00:00,85.2
6158,2023/06/20 01:00,88.1
6158,2023/06/20 02:00,86.5
6158,2023/06/20 03:00,87.8
6158,2023/06/20 04:00,87.9
6158,2023/06/20 05:00,90.5
6158,2023/06/20 06:00,93.3
6158,2023/06/20 07:00,83.5
6158,2023/06/20 08:00,71.7
6158,2023/06/20 09:00,63.7
6158,2023/06/20 10:00,57.9
6158,2023/06/20 11:00,54.9
6158,2023/06/20 12:00,53.5
6158,2023/06/20 13:00,52.0
6158,2023/06/20 14:00,-999
6158,2023/06/20 15:00,45.7
6158,2023/06/20 16:00,44.9
6158,2023/06/20 17:00,45.6
6158,2023/06/20 18:00,45.1
6158,2023/06/20 19:00,47.1
6158,2023/06/20 20:00,54.3
6158,2023/06/20 21:00,62.8
6158,2023/06/20 22:00,69.6
6158,2023/06/20 23:00,75.1
6158,2023/06/21 00:00,78.5
6158,2023/06/21 01:00,79.9
6158,2023/06/21 02:00,81.2
6158,2023/06/21 03:00,83.4
6158,2023/06/21 04:00,86.1
6158,2023/06/21 05:00,88.4
6158,2023/06/21 06:00,89.9
6158,2023/06/21 07:00,80.0
6158,2023/06/21 08:00,66.3
6158,2023/06/21 09:00,58.1
6158,2023/06/21 10:00,53.1
6158,2023/06/21 11:00,51.4
6158,2023/06/21 12:00,48.8
6158,2023/06/21 13:00,47.5
6158,2023/06/21 14:00,44.6
6158,2023/06/21 15:00,43.3
6158,2023/06/21 16:00,44.7
6158,2023/06/21 17:00,43.8
6158,2023/06/21 18:00,46.3
6158,2023/06/21 19:00,50.4
6158,2023/06/21 20:00,58.7
6158,2023/06/21 21:00,68.0
6158,2023/06/21 22:00,75.2
6158,2023/06/21 23:00,77.7
6158,2023/06/22 00:00,80.2
6158,2023/06/22 01:00,80.4
6158,2023/06/22 02:00,85.2
6158,2023/06/22 03:00,86.8
6158,2023/06/22 04:00,88.1
6158,2023/06/22 05:00,85.5
6158,2023/06/22 06:00,83.9
6158,2023/06/22 07:00,79.7
6158,2023/06/22 08:00,68.2
6158,2023/06/22 09:00,60.6
6158,2023/06/22 10:00,54.5
6158,2023/06/22 11:00,52.3
6158,2023/06/22 12:00,49.3
6158,2023/06/22 13:00,46.8
6158,2023/06/22 14:00,45.0
6158,2023/06/22 15:00,44.9
6158,2023/06/22 16:00,48.1
6158,2023/06/22 17:00,50.3
6158,2023/06/22 18:00,49.7
6158,2023/06/22 19:00,51.8
6158,2023/06/22 20:00,60.4
6158,2023/06/22 21:00,61.4
6158,2023/06/22 22:00,62.4
6158,2023/06/22 23:00,63.4
6158,2023/06/23 00:00,64.3
