time,temperature(C),humidity,note
2022/10/07 14:20:30,"19,75","65,2",""
2022/10/07 14:30:30,"19,75","64,9",""
2022/10/07 14:40:30,"19,75","64,8",""
2022/10/07 14:50:30,"19,75","64,6",""
2022/10/07 15:00:30,"19,81","64,5",""
2022/10/07 15:10:30,"19,81","64,4",""
2022/10/07 15:20:30,"19,81","64,4",""
2022/10/07 15:30:30,"19,81","64,3",""
2022/10/07 15:40:30,"19,81","64,3",""
2022/10/07 15:50:30,"19,81","64,3",""
2022/10/07 16:00:30,"19,81","64,3",""
2022/10/07 16:10:30,"19,81","64,4",""
2022/10/07 16:20:30,"19,81","64,4",""
2022/10/07 16:30:30,"19,81","64,4",""
2022/10/07 16:40:30,"19,81","64,4",""
2022/10/07 16:50:30,"19,81","64,5",""
2022/10/07 17:00:30,"19,81","64,6",""
2022/10/07 17:10:30,"19,81","64,6",""
2022/10/07 17:20:30,"19,81","64,7",""
2022/10/07 17:30:30,"19,81","64,8",""
2022/10/07 17:40:30,"19,81","64,9",""
2022/10/07 17:50:30,"19,75","64,9",""
2022/10/07 18:00:30,"19,75","64,9",""
2022/10/07 18:10:30,"19,75","65,0",""
2022/10/07 18:20:30,"19,69","65,0",""
2022/10/07 18:30:30,"19,69","65,1",""
2022/10/07 18:40:30,"19,69","65,1",""
2022/10/07 18:50:30,"19,63","65,1",""
2022/10/07 19:00:30,"19,63","65,1",""
2022/10/07 19:10:30,"19,63","65,2",""
2022/10/07 19:20:30,"19,56","65,2",""
2022/10/07 19:30:30,"19,56","65,2",""
2022/10/07 19:40:30,"19,56","65,3",""
2022/10/07 19:50:30,"19,56","65,3",""
2022/10/07 20:00:30,"19,56","65,3",""
2022/10/07 20:10:30,"19,50","65,4",""
2022/10/07 20:20:30,"19,50","65,5",""
2022/10/07 20:30:30,"19,50","65,6",""
2022/10/07 20:40:30,"19,50","65,6",""
2022/10/07 20:50:30,"19,44","65,6",""
2022/10/07 21:00:30,"19,44","65,6",""
2022/10/07 21:10:30,"19,44","65,7",""
2022/10/07 21:20:30,"19,38","65,7",""
2022/10/07 21:30:30,"19,38","65,8",""
2022/10/07 21:40:30,"19,31","65,8",""
2022/10/07 21:50:30,"19,31","65,8",""
2022/10/07 22:00:30,"19,31","65,8",""
2022/10/07 22:10:30,"19,25","65,8",""
2022/10/07 22:20:30,"19,25","65,9",""
2022/10/07 22:30:30,"19,19","65,9",""
2022/10/07 22:40:30,"19,19","65,9",""
2022/10/07 22:50:30,"19,13","65,6",""
2022/10/07 23:00:30,"19,13","65,6",""
2022/10/07 23:10:30,"19,13","65,7",""
2022/10/07 23:20:30,"19,06","65,7",""
2022/10/07 23:30:30,"19,06","65,7",""
2022/10/07 23:40:30,"19,06","65,7",""
2022/10/07 23:50:30,"19,06","65,7",""
2022/10/08 00:00:30,"19,00","65,7",""
2022/10/08 00:10:30,"19,00","65,7",""
2022/10/08 00:20:30,"19,00","65,7",""
2022/10/08 00:30:30,"18,94","65,7",""
2022/10/08 00:40:30,"18,94","65,8",""
2022/10/08 00:50:30,"18,94","65,8",""
2022/10/08 01:00:30,"18,88","65,8",""
2022/10/08 01:10:30,"18,88","65,8",""
2022/10/08 01:20:30,"18,81","65,8",""
2022/10/08 01:30:30,"18,81","65,8",""
2022/10/08 01:40:30,"18,81","65,8",""
2022/10/08 01:50:30,"18,81","65,8",""
2022/10/08 02:00:30,"18,81","65,8",""
2022/10/08 02:10:30,"18,81","65,9",""
2022/10/08 02:20:30,"18,81","65,9",""
2022/10/08 02:30:30,"18,81","65,9",""
2022/10/08 02:40:30,"18,81","66,0",""
2022/10/08 02:50:30,"18,75","66,0",""
2022/10/08 03:00:30,"18,75","66,1",""
2022/10/08 03:10:30,"18,75","66,1",""
2022/10/08 03:20:30,"18,75","66,1",""
2022/10/08 03:30:30,"18,75","66,1",""
2022/10/08 03:40:30,"18,75","66,2",""
2022/10/08 03:50:30,"18,75","66,3",""
2022/10/08 04:00:30,"18,75","66,3",""
2022/10/08 04:10:30,"18,75","66,3",""
2022/10/08 04:20:30,"18,69","66,3",""
2022/10/08 04:30:30,"18,69","66,4",""
2022/10/08 04:40:30,"18,69","66,4",""
2022/10/08 04:50:30,"18,69","66,5",""
2022/10/08 05:00:30,"18,69","66,6",""
2022/10/08 05:10:30,"18,69","66,6",""
2022/10/08 05:20:30,"18,63","66,7",""
2022/10/08 05:30:30,"18,63","66,8",""
2022/10/08 05:40:30,"18,63","66,8",""
2022/10/08 05:50:30,"18,63","66,8",""
2022/10/08 06:00:30,"18,63","66,8",""
2022/10/08 06:10:30,"18,63","66,8",""
2022/10/08 06:20:30,"18,63","66,8",""
2022/10/08 06:30:30,"18,63","66,9",""
2022/10/08 06:40:30,"18,56","66,9",""
2022/10/08 06:50:30,"18,56","66,9",""
2022/10/08 07:00:30,"18,56","66,9",""
2022/10/08 07:10:30,"18,56","66,9",""
2022/10/08 07:20:30,"18,50","66,9",""
2022/10/08 07:30:30,"18,56","66,9",""
2022/10/08 07:40:30,"18,50","66,9",""
2022/10/08 07:50:30,"18,50","67,0",""
2022/10/08 08:00:30,"18,50","67,0",""
