"Date","Temp","Umidità","Remark"
2023/03/18 14:03:46,"20.13℃","39.69%",""
2023/03/18 14:13:46,"20.06℃","38.25%",""
2023/03/18 14:23:46,"19.94℃","38.50%",""
2023/03/18 14:33:46,"19.94℃","38.44%",""
2023/03/18 14:43:46,"19.88℃","38.62%",""
2023/03/18 14:53:46,"19.81℃","38.69%",""
2023/03/18 15:03:46,"19.75℃","38.75%",""
2023/03/18 15:13:46,"19.75℃","38.88%",""
2023/03/18 15:23:46,"19.69℃","39.00%",""
2023/03/18 15:33:46,"19.63℃","39.06%",""
2023/03/18 15:43:46,"19.56℃","39.12%",""
2023/03/18 15:53:46,"19.56℃","39.12%",""
2023/03/18 16:03:46,"19.50℃","39.25%",""
2023/03/18 16:13:46,"19.44℃","39.31%",""
2023/03/18 16:23:46,"19.44℃","39.25%",""
2023/03/18 16:33:46,"19.44℃","39.44%",""
2023/03/18 16:43:46,"19.38℃","39.62%",""
2023/03/18 16:53:46,"19.31℃","39.81%",""
2023/03/18 17:03:46,"19.31℃","40.00%",""
2023/03/18 17:13:46,"19.31℃","40.00%",""
2023/03/18 17:23:46,"19.25℃","40.12%",""
2023/03/18 17:33:46,"19.19℃","40.31%",""
2023/03/18 17:43:46,"19.19℃","40.50%",""
2023/03/18 17:53:46,"19.19℃","40.62%",""
2023/03/18 18:03:46,"19.19℃","40.81%",""
2023/03/18 18:13:46,"19.13℃","41.00%",""
2023/03/18 18:23:46,"19.13℃","41.12%",""
2023/03/18 18:33:46,"19.06℃","41.31%",""
2023/03/18 18:43:46,"19.06℃","41.50%",""
2023/03/18 18:53:46,"19.06℃","41.69%",""
2023/03/18 19:03:46,"19.00℃","41.94%",""
2023/03/18 19:13:46,"18.94℃","42.12%",""
2023/03/18 19:23:46,"18.94℃","42.31%",""
2023/03/18 19:33:46,"18.94℃","42.50%",""
2023/03/18 19:43:46,"18.88℃","42.62%",""
2023/03/18 19:53:46,"18.88℃","42.69%",""
2023/03/18 20:03:46,"18.88℃","42.81%",""
2023/03/18 20:13:46,"18.81℃","42.94%",""
2023/03/18 20:23:46,"18.81℃","43.12%",""
2023/03/18 20:33:46,"18.81℃","43.19%",""
2023/03/18 20:43:46,"18.75℃","43.25%",""
2023/03/18 20:53:46,"18.69℃","43.31%",""
2023/03/18 21:03:46,"18.69℃","43.31%",""
2023/03/18 21:13:46,"18.69℃","43.38%",""
2023/03/18 21:23:46,"18.63℃","43.44%",""
2023/03/18 21:33:46,"18.63℃","43.56%",""
2023/03/18 21:43:46,"18.56℃","43.62%",""
2023/03/18 21:53:46,"18.56℃","43.75%",""
2023/03/18 22:03:46,"18.56℃","43.88%",""
2023/03/18 22:13:46,"18.50℃","44.00%",""
2023/03/18 22:23:46,"18.50℃","44.06%",""
2023/03/18 22:33:46,"18.50℃","44.19%",""
2023/03/18 22:43:46,"18.44℃","44.31%",""
